ID,LABEL,TRACK_ID,TRACK_NAME,TRACK_VISIBLE,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,MEAN_INTENSITY_CH2,MEDIAN_INTENSITY_CH2,MIN_INTENSITY_CH2,MAX_INTENSITY_CH2,TOTAL_INTENSITY_CH2,STD_INTENSITY_CH2,CONTRAST_CH1,SNR_CH1,CONTRAST_CH2,SNR_CH2,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Mean intensity ch2,Median intensity ch2,Min intensity ch2,Max intensity ch2,Sum intensity ch2,Std intensity ch2,Contrast ch1,Signal/Noise ratio ch1,Contrast ch2,Signal/Noise ratio ch2,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID,Label,Track ID,Track name,Track visibility,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Mean ch2,Median ch2,Min ch2,Max ch2,Sum ch2,Std ch2,Ctrst ch1,SNR ch1,Ctrst ch2,SNR ch2,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,,,(quality),(pixels),(pixels),(pixels),(frames),,(pixels),,,(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),(counts),,,,,(pixels),(pixels),(pixels),(pixels),(radians),,(pixels^2),(pixels),,,
2588,ID2588,9,Track_9,1,244.0,541.9423868312757,468.3305898491083,0.0,3.0,3,8.79484521425256,1,ø,6061.945833333333,6064.0,5016.0,6967.0,1454867.0,369.73568697820355,9649.391666666666,9849.0,6870.0,11565.0,2315854.0,1133.4462042100695,0.00912617961020666,0.2965474643166784,0.28945107936306597,3.822076024333811,0.013633817089731314,0.14881571831046542,11.734297017584037,6.952442963973038,-1.360004212451468,1.6877947907505544,243.0,61.30393179003762,0.8125301386663903,0.9662027833001988,3.9326490579289644
2570,ID2570,10,Track_10,1,1404.0,107.80883049242425,169.63612689393938,0.0,2.0,2,21.17026971360491,1,ø,6384.483985765125,6367.0,5122.0,7834.0,8970200.0,390.9681394995769,28830.347330960853,26238.0,12991.0,54413.0,4.0506638E7,10963.205398385799,0.01668258145324163,0.5359105429902888,0.5475405648519492,1.8608723259093793,-0.8641107476534088,-0.7348412375045928,36.36289993726888,13.679082532809629,0.7130678261670166,2.658285001940118,1408.0,165.6093055315925,0.6451237741401029,0.9443326626425218,4.413502821811335
2577,ID2577,10,Track_10,1,1122.0,97.73612347877709,180.71890768774117,0.0,3.0,3,18.906665549070173,1,ø,6453.065062388592,6428.0,5175.0,7594.0,7240339.0,389.8867836427307,33902.82174688057,33520.0,15049.0,51976.0,3.8038966E7,9383.045549428438,0.016779793515656876,0.5462824282299468,0.5614021078888866,2.5982521475698355,-0.15062671958945903,0.2731342913832955,22.531060394298105,16.244873573609315,1.1517644341852096,1.3869643424557667,1123.0,128.77058507583334,0.851052363999003,0.9718736477715275,3.8426142663061125
2562,ID2562,11,Track_11,1,373.0,552.4301801801802,68.13018018018019,0.0,3.0,3,10.852403323135503,1,ø,6036.231182795699,6021.0,4949.0,7246.0,2245478.0,403.2382336722216,9249.368279569893,9078.0,5979.0,14167.0,3440765.0,1593.941740156354,0.007092009399489424,0.2108309224274989,0.35765487653590483,3.057344595522911,0.17036994298409314,0.5236695279209823,16.098951736190887,7.766214923593667,0.049886731155245556,2.072946975402711,369.99999999999983,85.71701432369666,0.6328160962795547,0.8685446009389666,4.4562153814488905
2618,ID2618,11,Track_11,1,166.0,547.1026026026026,55.63713713713714,0.0,4.0,4,7.280013464932681,1,ø,6030.041916167665,6017.0,5171.0,6911.0,1007017.0,340.97313523992227,9503.065868263473,9343.0,6390.0,13380.0,1587012.0,1630.2397234383047,0.005807951453220469,0.20423871845112695,0.29110218348769235,2.6286157837115454,-0.014377591302471099,0.13803637228684107,7.62891850209799,7.339806027985713,1.0387135214963967,1.0393896613902234,166.5,47.581567936389675,0.9241588009137697,0.9823008849557524,3.6874966135559477
2560,ID2560,ø,ø,0,1144.0,150.2676107480029,145.66456063907046,0.0,0.0,0,19.111792024713427,1,ø,6270.555555555556,6240.0,4576.0,8400.0,7223680.0,599.6701529225944,29432.991319444445,28496.0,14752.0,47872.0,3.3906806E7,7715.924497853195,0.012979095665946594,0.2679584966326541,0.514009676713491,2.590115154012943,-0.03315475249665943,0.21203444056973467,23.188097388162294,16.280663591948578,0.9452876911124577,1.4242722513859762,1147.4999999999998,131.49686732947998,0.8339341233058236,0.9745222929936306,3.881852770295951
2558,ID2558,ø,ø,0,1386.0,316.4824561403509,28.281182408074983,0.0,0.0,0,21.011801734666108,1,ø,5892.707492795389,5891.0,4137.0,7936.0,8179078.0,496.53884611099875,10920.993515850145,10992.0,5036.0,15262.0,1.5158339E7,1759.9019592666102,5.586414742645494E-4,0.013252025922311336,0.3092103066277003,2.931218655141746,-0.5305436665641065,-0.30262673627733616,28.58258867376625,16.28686636948031,-1.4619345086456823,1.7549470859125293,1386.9999999999998,158.68400020695924,0.6921815917868192,0.927139037433155,4.260836891714516
2568,ID2568,ø,ø,0,246.0,441.17543859649123,395.53036437246965,0.0,1.0,1,8.866935315394846,1,ø,5990.967611336032,5981.0,4856.0,7044.0,1479769.0,424.0487860263839,10460.627530364372,10305.0,7503.0,13534.0,2583775.0,1262.0866058000183,0.005020172693466549,0.14114159508863527,0.22407084878034356,3.034431795846113,0.051340069822263946,0.009550163640515537,10.858887264462876,7.420401415002717,0.2658061214504951,1.463382727854609,247.0,59.269193611406685,0.883585906959365,0.9743589743589743,3.771208480879938
2569,ID2569,ø,ø,0,312.0,587.3202666666667,412.10373333333337,0.0,1.0,1,9.973557010035817,1,ø,5935.17571884984,5969.0,4774.0,6826.0,1857710.0,334.812449104275,11126.785942492013,10968.0,8151.0,14960.0,3482684.0,1597.1234123940267,0.006545649956210364,0.23055857525465273,0.3021789804374088,3.2333656743997805,-0.04660089647424303,0.19041921307414247,13.821712407480382,7.561606294553714,-0.33904647618274286,1.8278804620435662,312.5,69.36003652696837,0.8162839537150199,0.9827044025157232,3.923596173725277
2555,ID2555,ø,ø,0,1055.0,136.7045096184169,158.14679911699778,0.0,1.0,1,18.342670189922366,1,ø,6333.419811320755,6324.0,5248.0,7326.0,6713425.0,333.8883295419416,31147.83679245283,30123.0,16799.0,48127.0,3.3016707E7,8556.032528440333,0.015346656476555193,0.5734115828344916,0.5203294909469415,2.4918745837640945,-0.2177842523080259,-0.27711573128700545,23.31686194352796,14.840676588470235,1.3105281490722254,1.5711454800950855,1056.9999999999995,124.09063304261936,0.8625948305411889,0.9805194805194801,3.8168184813657806
